"What kind of pet is this (Dog, Cat, Bird, Other)","Pet's Full Name (you don't have to include your last name. Think ""Winston Churchill"" and not ""Winston Churchill MYLASTNAME"")","Pet's everyday name (e.g. ""Church"")",Pet's age,Pet's breed (if applicable)
Dog,Widget,Widget,5,Mini Dachshund/Beagle mix
Dog,Stella Bo Bella,Stella,6.5,Mutt
Cat,Meryl Streep,Merrill,8,Unknown
Dog,Tilly,Tills,13,Chocolate lab mix
Cat,Pumpkin,Pumpkin,12,Unknown
Dog,Peter Peter Pumpkin Eater,Petey,5,Pit bull
Cat,Jacques,Jacques,12,Unknown
Dog,Remy,Rem,1,Unknown
Dog,Oreo,Oreo,7,coonhound/beagle
Dog,Ljus  (Swedish word for light),Ljus ,0.2692307692307692,Golden Retriever
Dog,Bambi,Bambs,3,Unknown
Cat,Marie Curie,Marie,3,Unknown
Cat,Clarence,Clarence,12,Russian Blue
Dog,Layla ‘The Tank’,Layla,3,Pit bull
Cat,Amber,Ambs,10,Tortoiseshell cat
Dog,Benny and the Jets,Ben,1,Mastiff/Great Dane
Dog,Milo,Milo,7,Bichon Frise
Dog,Mocha,Mocha,3,Pitbull/Terrier
Dog,Shadow,Shadow ,15.5,Golden Retriever
Cat,Little Bit,Skittles,10,Tabby
Dog,Luna,Luna,1,Great Pyrenees 
Cat,Garrison,Garrison ,9,Russian Blue
Dog,Cody,"Baby, Pookie",13,Black lab basset houd mix
Rodents,Hammy,Ham,1,Russian dwarf hamster
Cat,Zoey,Zoey,13,Cat
Dog,Oatmeal,Oatmeal,0.5833333333333334,Golden Retriever
Dog,Ginger,Nugget ,10,Chihuahua 
Cat,Lucy,Lucy,4,Russian Blue 
Dog,Starbuck Louise,Starbuck,4,Goldendoodle
Dog,Mocha Antoinette,Mocha,7,Mutt
Dog,Oscar ,Oscar ,10,Shepherd retriever mix
Cat,Serena,Mouse Pie,17,Domestic Longhair
Cat,Maxine Waters,Maxine,4,Unknown
Dog,Magnolia Mae,Noli,2.5,Great Pyrenees 
Dog,George Cooper,Georgie,2,Golden Retriever
Dog,Cayenne,Cayenne,8,German Shepherd
Cat,Pip,Pip,11,Tuxedo 
Dog,Olive Oil,Olive,2,Australian Shepherd
Rabbit,Iggy and Ziggy ,Igs and Zigs,3,Lop and angora
Dog,Brook,Brookie,7,Golden Retriever
Dog,Sparkie,"Spark, Sparkie, sparkle",4,Mutt
Dog,Max,Maxie,16,Cairn Terrier
Dog,Howard,Howie,10,American Staffordshire Terrier mix
Cat,Samantha Bee,Sam,3,Tuxedo
Dog,Ella Fitzgerald,Ella,12,Heinz 57
Cat,Chanel,Teeny,6.5,Unknown
